trANs,hWy,DiSPL,modEl,MaNUfACTuRER,CTY,DRV,year
manual(m6),25,3.1,a4 quattro,audi,15,4,2008
auto(l3),24,2.4,caravan 2wd,dodge,18,f,1999
auto(l4),16,4.6,f150 pickup 4wd,ford,13,4,1999
manual(m5),20,2.7,toyota tacoma 4wd,toyota,15,4,1999
manual(m5),29,2.2,camry,toyota,21,f,1999
manual(m5),26,3,camry solara,toyota,18,f,1999
auto(l4),17,4.6,f150 pickup 4wd,ford,13,4,2008
manual(m5),44,1.9,new beetle,volkswagen,35,f,1999
auto(l4),17,3.9,durango 4wd,dodge,13,4,1999
manual(m5),17,3.4,toyota tacoma 4wd,toyota,15,4,1999
auto(l4),15,5.2,dakota pickup 4wd,dodge,11,4,1999
manual(m5),29,2,tiburon,hyundai,19,f,1999
manual(m5),26,4,mustang,ford,17,r,2008
manual(m5),22,2.7,toyota tacoma 4wd,toyota,17,4,2008
auto(l4),26,2,gti,volkswagen,19,f,1999
manual(m6),16,4.7,ram 1500 pickup 4wd,dodge,12,4,2008
auto(l4),23,2.5,forester awd,subaru,18,4,2008
auto(s4),27,2.5,impreza awd,subaru,20,4,2008
auto(av),31,2.5,altima,nissan,23,f,2008
manual(m6),29,2,jetta,volkswagen,21,f,2008
